iter	Logloss
0	0.6717769132
1	0.6517089936
2	0.6320083109
3	0.613625516
4	0.5961983839
5	0.5789586966
6	0.5625113152
7	0.546817549
8	0.5321418791
9	0.5180369545
10	0.5045103129
11	0.4917010887
12	0.4787660696
13	0.4669161845
14	0.4555371999
15	0.4447283764
16	0.4343455682
17	0.4241224464
18	0.4146189831
19	0.4053014272
20	0.3965276241
21	0.3882948979
22	0.3802935981
23	0.3724362328
24	0.3650766509
25	0.3581293138
26	0.3514060578
27	0.3451065329
28	0.3386949393
29	0.332559641
30	0.3269527981
31	0.3213416565
32	0.3162846331
33	0.3115020175
34	0.3067499526
35	0.3025895925
36	0.2981648609
37	0.2937121614
38	0.2901776414
39	0.2866022787
40	0.2828337491
41	0.2793423882
42	0.2760385391
43	0.2726182513
44	0.2692470807
45	0.2660377129
46	0.263157855
47	0.2603852722
48	0.257466533
49	0.2547199783
50	0.2522226244
51	0.2498806005
52	0.2478299287
53	0.2455680778
54	0.2434428175
55	0.2411665349
56	0.2390039658
57	0.2369349402
58	0.2352186916
59	0.2334253226
60	0.2316077286
61	0.2300619494
62	0.2283701761
63	0.2268583788
64	0.2253486415
65	0.22385029
66	0.2224573545
67	0.2211099654
68	0.219753606
69	0.2184785279
70	0.2174131648
71	0.2163785895
72	0.2153128474
73	0.2141847135
74	0.2131835288
75	0.2120897204
76	0.2110680412
77	0.2100882323
78	0.209190703
79	0.2083015805
80	0.2075344548
81	0.2067177888
82	0.2058297413
83	0.2050568325
84	0.2043479281
85	0.2035206429
86	0.2027709154
87	0.2021248789
88	0.2015037991
89	0.2008540464
90	0.2002840931
91	0.1997607992
92	0.1992428339
93	0.198636392
94	0.1980786629
95	0.1975571603
96	0.1971049373
97	0.1966001245
98	0.1960810864
99	0.1956641215
100	0.195170328
101	0.194718275
102	0.194203024
103	0.1937945845
104	0.1933332749
105	0.193008107
106	0.192646833
107	0.1922551243
108	0.1919262091
109	0.1915938565
110	0.1912858905
111	0.190980902
112	0.1906813047
113	0.1903444614
114	0.190029909
115	0.1896374963
116	0.1893700173
117	0.1891077552
118	0.1887827851
119	0.188521015
120	0.188267169
121	0.1880562787
122	0.1878015058
123	0.1875825056
124	0.1873497731
125	0.1871556663
126	0.1869020033
127	0.1866676848
128	0.186472462
129	0.1862567508
130	0.1860536933
131	0.1858369314
132	0.1856803441
133	0.1854633148
134	0.1852442289
135	0.1849983301
136	0.1848432887
137	0.184685013
138	0.1844924491
139	0.1843151846
140	0.1841052138
141	0.1839295393
142	0.183817514
143	0.1836627067
144	0.1835458414
145	0.1834105963
146	0.183273418
147	0.1831559888
148	0.1830368108
149	0.1829341093
150	0.1827783561
151	0.18260539
152	0.1825243356
153	0.1824081017
154	0.1822896804
155	0.1821472717
156	0.1820636886
157	0.1819565191
158	0.1818672588
159	0.1817833403
160	0.1816748624
161	0.1815734255
162	0.1814905554
163	0.1814196281
164	0.1813366891
165	0.181276152
166	0.1811942281
167	0.1810945392
168	0.180984275
169	0.1809337318
170	0.1808578213
171	0.1807616276
172	0.180666675
173	0.1806006019
174	0.1805239418
175	0.1804546433
176	0.1803830919
177	0.18031111
178	0.1802313248
179	0.1801501717
180	0.180079203
181	0.1800046471
182	0.1799287381
183	0.1798692123
184	0.1797897051
185	0.179748483
186	0.1796783457
187	0.1796107616
188	0.1795422174
189	0.179478222
190	0.1794204534
191	0.1793641001
192	0.179318843
193	0.179248484
194	0.1791952338
195	0.1791294185
196	0.179090976
197	0.1790441337
198	0.1789980238
199	0.1789637414
200	0.1789214123
201	0.1788597104
202	0.1788229684
203	0.1787828344
204	0.1787436317
205	0.1787023962
206	0.1786583107
207	0.1786104752
208	0.1785784486
209	0.1785411983
210	0.1784787613
211	0.1784518031
212	0.1784228732
213	0.1783785917
214	0.1783380505
215	0.1783132573
216	0.1782910487
217	0.1782595141
218	0.178227969
219	0.178204136
220	0.1781708106
221	0.1781278811
222	0.1780909681
223	0.1780458237
224	0.1780077851
225	0.1779799307
226	0.1779441596
227	0.1779174719
228	0.1778914871
229	0.1778731246
230	0.1778393148
231	0.1778164738
232	0.1777776774
233	0.1777449563
234	0.1777277742
235	0.1777003831
236	0.1776746317
237	0.1776477747
238	0.1776088938
239	0.1775734172
240	0.1775467128
241	0.1775299061
242	0.1774971784
243	0.177468158
244	0.1774410128
245	0.177421653
246	0.1774006072
247	0.1773647067
248	0.1773401117
249	0.1773181513
250	0.1772959033
251	0.1772748535
252	0.1772453936
253	0.1772228284
254	0.1771877589
255	0.1771650706
256	0.1771268439
257	0.17710313
258	0.1770813036
259	0.1770616242
260	0.1770395665
261	0.1770151996
262	0.1769879522
263	0.1769705717
264	0.1769429013
265	0.1769309389
266	0.1769037516
267	0.1768870906
268	0.1768594894
269	0.1768497751
270	0.1768313631
271	0.1768130254
272	0.1767865736
273	0.1767540119
274	0.1767401775
275	0.1767241678
276	0.1766965285
277	0.1766725343
278	0.1766490325
279	0.1766281935
280	0.1766073974
281	0.1765851165
282	0.1765680395
283	0.1765486804
284	0.1765297534
285	0.1765121492
286	0.1764945042
287	0.1764794015
288	0.1764495042
289	0.1764356871
290	0.1764213191
291	0.1763953246
292	0.1763747727
293	0.1763615683
294	0.1763499336
295	0.1763340045
296	0.1763136792
297	0.1763015162
298	0.176288804
299	0.1762730924
300	0.1762507957
301	0.1762309149
302	0.1762097111
303	0.176197536
304	0.1761823191
305	0.1761700188
306	0.176153336
307	0.1761416123
308	0.1761261658
309	0.1761163555
310	0.1760995005
311	0.1760765066
312	0.1760615072
313	0.1760535782
314	0.1760385311
315	0.176023223
316	0.1760149521
317	0.1759892214
318	0.1759691587
319	0.1759579331
320	0.1759378857
321	0.1759220833
322	0.1759035059
323	0.1758868686
324	0.1758722786
325	0.1758624492
326	0.1758528942
327	0.175845942
328	0.1758342579
329	0.1758232485
330	0.1758035474
331	0.1757892292
332	0.1757735273
333	0.1757591602
334	0.1757498063
335	0.1757346661
336	0.1757235201
337	0.1757163436
338	0.1757022821
339	0.1756933095
340	0.1756833815
341	0.1756702193
342	0.1756606987
343	0.1756475799
344	0.1756332182
345	0.1756234898
346	0.1756117029
347	0.1755997031
348	0.175590912
349	0.1755792414
350	0.1755594311
351	0.1755494171
352	0.1755401144
353	0.1755219571
354	0.175512281
355	0.1754971441
356	0.1754853612
357	0.1754748279
358	0.1754674945
359	0.175453463
360	0.1754415073
361	0.1754265508
362	0.1754119687
363	0.1753925643
364	0.1753830797
365	0.1753722693
366	0.1753632047
367	0.1753474618
368	0.1753364938
369	0.1753320927
370	0.1753261056
371	0.1753143539
372	0.1753007994
373	0.1752954926
374	0.1752831795
375	0.175273281
376	0.1752588585
377	0.1752533849
378	0.1752403771
379	0.1752246928
380	0.1752146187
381	0.1751981325
382	0.1751814473
383	0.1751763639
384	0.1751679325
385	0.1751593591
386	0.1751466395
387	0.1751325555
388	0.1751197038
389	0.1751044341
390	0.1750948502
391	0.1750889975
392	0.1750772166
393	0.1750615484
394	0.1750524648
395	0.1750376895
396	0.1750266985
397	0.1750118322
398	0.1750026646
399	0.1749936677
400	0.1749808964
401	0.1749705161
402	0.1749601393
403	0.1749489615
404	0.1749384458
405	0.1749238896
406	0.1749131292
407	0.1749029058
