iter	Passed	Remaining
0	76	380348
1	142	355440
2	203	339139
3	268	334844
4	336	336040
5	396	330101
6	461	329512
7	529	330443
8	592	328824
9	653	326001
10	717	325367
11	781	324880
12	852	326949
13	922	328506
14	976	324551
15	1034	322340
16	1099	322168
17	1160	321174
18	1215	318771
19	1279	318529
20	1341	318059
21	1397	316218
22	1454	314768
23	1520	315169
24	1576	313787
25	1635	312826
26	1699	313101
27	1759	312377
28	1817	311535
29	1882	311890
30	1945	311768
31	2010	312181
32	2069	311471
33	2128	310941
34	2197	311679
35	2255	310970
36	2314	310461
37	2381	310962
38	2438	310192
39	2500	310022
40	2565	310349
41	2621	309489
42	2679	308921
43	2744	309135
44	2803	308726
45	2862	308246
46	2932	309009
47	2986	308078
48	3046	307817
49	3115	308387
50	3171	307805
51	3228	307172
52	3290	307108
53	3351	306969
54	3410	306642
55	3467	306160
56	3534	306506
57	3589	305861
58	3650	305734
59	3718	306122
60	3776	305769
61	3832	305274
62	3898	305523
63	3962	305611
64	4027	305762
65	4083	305292
66	4153	305784
67	4211	305424
68	4271	305261
69	4339	305621
70	4397	305280
71	4455	304929
72	4522	305234
73	4582	305021
74	4646	305092
75	4711	305223
76	4769	304957
77	4838	305291
78	4907	305671
79	4967	305480
80	5028	305367
81	5096	305671
82	5156	305461
83	5215	305256
84	5284	305587
85	5343	305352
86	5402	305104
87	5469	305275
88	5528	305042
89	5587	304846
90	5659	305290
91	5716	304951
92	5775	304710
93	5842	304930
94	5902	304759
95	5963	304611
96	6029	304776
97	6094	304864
98	6158	304887
99	6223	304939
100	6284	304810
101	6340	304465
102	6407	304625
103	6471	304675
104	6533	304574
105	6597	304614
106	6666	304874
107	6738	305206
108	6801	305199
109	6871	305491
110	6948	306032
111	7024	306560
112	7102	307153
113	7174	307507
114	7252	308080
115	7333	308755
116	7401	308882
117	7473	309215
118	7553	309829
119	7631	310349
120	7700	310498
121	7769	310667
122	7828	310399
123	7889	310232
124	7958	310382
125	8023	310363
126	8085	310248
127	8160	310603
128	8223	310508
129	8283	310314
130	8352	310434
131	8413	310272
132	8472	310032
133	8541	310185
134	8604	310072
135	8663	309862
136	8736	310103
137	8795	309896
138	8852	309597
139	8919	309646
140	8980	309490
141	9038	309214
142	9107	309348
143	9196	310138
144	9275	310565
145	9345	310695
146	9410	310680
147	9474	310622
148	9539	310588
149	9606	310622
150	9667	310446
151	9726	310221
152	9785	310001
153	9850	309955
154	9919	310049
155	9992	310290
156	10083	311045
157	10153	311161
158	10213	310953
159	10285	311145
160	10352	311144
161	10412	310954
162	10477	310924
163	10543	310897
164	10601	310648
165	10662	310500
166	10728	310476
167	10787	310260
168	10845	310029
169	10910	309995
170	10971	309822
171	11034	309736
172	11092	309492
173	11158	309474
174	11220	309357
175	11279	309155
176	11343	309088
177	11409	309074
178	11466	308816
179	11523	308570
180	11583	308397
181	11647	308326
182	11706	308149
183	11764	307912
184	11825	307774
185	11888	307707
186	11947	307505
187	12017	307598
188	12092	307805
189	12151	307625
190	12217	307608
191	12284	307618
192	12351	307641
193	12421	307726
194	12489	307750
195	12557	307797
196	12619	307680
197	12685	307654
198	12752	307650
199	12811	307477
200	12880	307524
201	12946	307500
202	13006	307356
203	13075	307413
204	13136	307256
205	13201	307213
206	13265	307162
207	13324	306969
208	13382	306770
209	13456	306931
210	13515	306748
211	13579	306682
212	13640	306554
213	13705	306521
214	13766	306376
215	13823	306169
216	13891	306189
217	13951	306038
218	14013	305932
219	14085	306046
220	14146	305917
221	14205	305734
222	14264	305565
223	14333	305614
224	14400	305611
225	14470	305674
226	14543	305788
227	14608	305750
228	14667	305582
229	14729	305484
230	14798	305518
231	14858	305377
232	14922	305306
233	14986	305242
234	15046	305085
235	15106	304943
236	15173	304941
237	15233	304797
238	15291	304618
239	15360	304659
240	15418	304461
241	15477	304296
242	15547	304353
243	15605	304183
244	15663	304001
245	15728	303950
246	15786	303777
247	15844	303593
248	15909	303559
249	15969	303426
250	16026	303226
251	16084	303049
252	16149	303008
253	16208	302862
254	16265	302664
255	16323	302503
256	16387	302432
257	16450	302352
258	16510	302222
259	16575	302175
260	16639	302132
261	16699	301985
262	16756	301807
263	16825	301840
264	16882	301663
265	16940	301491
266	16997	301308
267	17059	301206
268	17120	301102
269	17182	301011
270	17241	300861
271	17304	300786
272	17361	300616
273	17420	300478
274	17485	300434
275	17549	300367
276	17613	300325
277	17674	300205
278	17735	300103
279	17796	300003
280	17857	299890
281	17922	299847
282	17983	299738
283	18042	299614
284	18097	299404
285	18158	299300
286	18221	299226
287	18280	299085
288	18338	298935
289	18402	298879
290	18462	298763
291	18524	298669
292	18600	298812
293	18667	298808
294	18726	298678
295	18786	298551
296	18855	298571
297	18915	298456
298	18978	298387
299	19047	298415
300	19112	298363
301	19169	298212
302	19239	298237
303	19298	298108
304	19357	297982
305	19425	297989
306	19492	297967
307	19552	297855
308	19620	297868
309	19684	297807
310	19741	297653
311	19811	297674
312	19871	297565
313	19934	297498
314	19997	297425
315	20056	297290
316	20118	297207
317	20186	297209
318	20247	297106
319	20302	296923
320	20372	296957
321	20431	296833
322	20501	296852
323	20568	296851
324	20637	296866
325	20701	296803
326	20760	296678
327	20823	296609
328	20883	296495
329	20942	296369
330	21009	296360
331	21071	296273
332	21142	296308
333	21211	296327
334	21279	296325
335	21337	296187
336	21405	296179
337	21462	296024
338	21521	295904
339	21596	295993
340	21672	296099
341	21743	296148
342	21813	296162
343	21871	296034
344	21929	295890
345	21999	295911
346	22076	296035
347	22148	296082
348	22215	296054
349	22274	295935
350	22332	295792
351	22403	295825
352	22487	296031
353	22559	296076
354	22619	295969
355	22677	295828
356	22735	295692
357	22804	295695
358	22867	295624
359	22925	295486
360	22988	295407
361	23048	295305
362	23110	295209
363	23176	295178
364	23232	295025
365	23290	294885
366	23355	294842
367	23415	294726
368	23477	294651
369	23547	294666
370	23610	294589
371	23667	294448
372	23730	294374
373	23787	294233
374	23855	294223
375	23924	294223
376	23986	294136
377	24046	294032
378	24115	294032
379	24172	293889
380	24232	293774
381	24300	293768
382	24361	293676
383	24423	293594
384	24492	293596
385	24550	293462
386	24609	293338
387	24680	293368
388	24751	293390
389	24820	293395
390	24905	293576
391	24978	293620
392	25049	293644
393	25119	293651
394	25186	293625
395	25300	294151
396	25407	294586
397	25485	294679
398	25560	294745
399	25654	295030
400	25739	295203
401	25836	295508
402	25941	295911
403	26054	296397
404	26148	296671
405	26225	296745
406	26316	296979
407	26418	297333
408	26503	297502
409	26583	297609
410	26659	297666
411	26724	297602
412	26788	297523
413	26848	297412
414	26927	297495
415	27000	297522
416	27076	297583
417	27143	297534
418	27210	297495
419	27275	297430
420	27335	297319
421	27398	297232
422	27458	297109
423	27523	297042
424	27581	296911
425	27639	296766
426	27698	296642
427	27759	296539
428	27818	296402
429	27875	296252
430	27934	296135
431	27993	296002
432	28054	295898
433	28114	295787
434	28173	295655
435	28232	295533
436	28292	295421
437	28349	295272
438	28411	295183
439	28470	295056
440	28526	294901
441	28587	294796
442	28658	294799
443	28724	294754
444	28790	294700
445	28851	294594
446	28911	294481
447	28970	294358
448	29028	294227
449	29086	294097
450	29147	293997
451	29206	293873
452	29267	293769
453	29325	293637
454	29388	293559
455	29447	293438
456	29505	293310
457	29563	293180
458	29620	293045
459	29681	292948
460	29762	293044
461	29837	293076
462	29909	293090
463	29977	293057
464	30044	293018
465	30114	293004
466	30179	292945
467	30239	292830
468	30305	292781
469	30389	292904
470	30459	292886
471	30528	292867
472	30595	292826
473	30659	292752
474	30719	292644
475	30777	292517
476	30836	292394
477	30895	292278
478	30953	292154
479	31010	292018
480	31067	291883
481	31125	291752
482	31191	291704
483	31250	291587
484	31308	291457
485	31371	291378
486	31431	291276
487	31490	291161
488	31548	291033
489	31607	290918
490	31667	290814
491	31729	290727
492	31787	290599
493	31842	290449
494	31907	290392
495	31966	290278
496	32023	290148
497	32082	290031
498	32141	289921
499	32197	289781
500	32268	289774
501	32346	289825
502	32422	289865
503	32490	289834
504	32556	289783
505	32619	289706
506	32689	289693
507	32750	289594
508	32810	289489
509	32869	289379
510	32929	289274
511	32986	289148
512	33041	288998
513	33100	288886
514	33161	288792
515	33222	288699
516	33283	288608
517	33349	288553
518	33408	288443
519	33467	288333
520	33524	288211
521	33581	288080
522	33638	287956
523	33698	287852
524	33757	287746
525	33814	287614
526	33871	287489
527	33926	287349
528	33985	287242
529	34041	287101
530	34099	286985
531	34159	286887
532	34225	286841
533	34305	286906
534	34387	286990
535	34457	286976
536	34523	286926
537	34588	286869
538	34654	286816
539	34713	286710
540	34771	286588
541	34831	286491
542	34890	286386
543	34953	286307
544	35014	286220
545	35082	286185
546	35147	286129
547	35217	286108
548	35283	286059
549	35366	286148
550	35432	286098
551	35503	286085
552	35573	286065
553	35652	286122
554	35721	286092
555	35785	286024
556	35851	285973
557	35921	285953
558	35991	285939
559	36059	285901
560	36125	285852
561	36195	285827
562	36272	285862
563	36338	285812
564	36412	285822
565	36503	285962
566	36573	285941
567	36647	285954
568	36719	285948
569	36787	285913
570	36863	285931
571	36932	285906
572	37010	285947
573	37084	285947
574	37148	285879
575	37224	285903
576	37288	285833
577	37360	285828
578	37427	285777
579	37511	285867
580	37599	285976
581	37690	286107
582	37775	286202
583	37852	286226
584	37926	286232
585	37989	286151
586	38059	286126
587	38151	286262
588	38239	286374
589	38320	286427
590	38433	286721
591	38512	286761
592	38575	286683
593	38638	286599
594	38698	286499
595	38757	286389
596	38817	286286
597	38876	286179
598	38934	286059
599	38992	285947
600	39048	285816
601	39106	285699
602	39167	285603
603	39226	285493
604	39288	285413
605	39347	285305
606	39405	285189
607	39463	285073
608	39528	285004
609	39589	284911
610	39648	284804
611	39705	284685
